model,params,used_epochs,best_epoch,best_val_acc,train_acc_at_best,val_loss_at_best,total_time_sec
pancake,1638415,24,20,0.7735,0.9785625,0.8265380918184916,34.6231894493103
tower,536847,28,20,0.7820833333333334,0.9054583333333334,0.8010741016070048,60.54680109024048
champion,2125071,34,30,0.7915833333333333,0.9864583333333333,1.089858988761902,91.69756841659546
